ID,Tweet_ID,Isi_Tweet,Tanggal_Tweet,Kandidat,Aplikasi,Lokasi User,Sentimen
-1153608663,bostonmanurung,"RT @Teddy_Sugianto: Hehehe @bostonmanurung: Blm ada petunjuk dr besan?  Jadi Capres, Hatta Rajasa Belum Siap Strategi - Republika Online ht ",8/2/2013 0:25,Hatta,web,Indonesia,-1
241874315,BrainPolitik,RT @dL0ne: Atau pokoknya Ahok maju jadi capres. Jokowi beresin Jakarta aja. Tapi partner Ahok yg paling pas siapa ya?,8/2/2013 4:19,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>","World  of Peace, NY",1
1853366836,yunartowijaya,"Woiii.. :p RT @provokatrok: kl gt presiden jokowi, wapres jokowi, menteri jokowi, gub jokowi, semua aja jokowi. Blm jg beres 1 tugas..indon",8/2/2013 5:29,Jokowi,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,1
-2046407671,Presiden2014com,"RT @yunartowijaya: Woiii.. :p RT @provokatrok: kl gt presiden jokowi, wapres jokowi, menteri jokowi, gub jokowi, semua aja jokowi. Blm jg b ",8/2/2013 6:19,Jokowi,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,1
783660534,herumurti54,@Prabowo08  bung saya dukung anda jadi capres. Jokowi jadi wapresnya ya...,8/2/2013 6:36,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1
-811562369,michico_ayano,"Allahu Akbar kl terjadi""@AnugrahRiko: Dream Team : Presiden Jokowi,Wakil Abraham Samad, gubernur DKI Ahok. Koruptor pd tobat jd guru ngaji.""",8/2/2013 6:59,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,1
1445938205,ernanooruddin,"RT @michico_ayano: Allahu Akbar kl terjadi""@AnugrahRiko: Dream Team : Presiden Jokowi,Wakil Abraham Samad, gubernur DKI Ahok. Koruptor pd t ",8/2/2013 8:06,Jokowi,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Tangerang Selatan,1
-1018328211,BBHesti,@kompascom Prabowo dgn 6 Program Aksinya cukup bagus sbg Presiden. Jokowi jangan diganggu sbg Gubernur DKI. DKi semrawut Indonesia hanyut!,8/2/2013 10:00,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1
216464873,aksha_vedia,RT @BBHesti: @kompascom Prabowo dgn 6 Program Aksinya cukup bagus sbg Presiden. Jokowi jangan diganggu sbg Gubernur DKI. DKi semrawut Indon ,8/2/2013 10:08,Jokowi,"<a href=""http://twitter.com/b0wtj4h"" rel=""nofollow"">bow_rt</a>",Paris Van Java,1
-2090873041,DarsonoDodi,@AisyaSuherman_ tong di pilih jadi presiden ARB na,8/2/2013 10:50,Aburizal,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Cikampek,1
-291798381,MaulanaSitorus,prabowo subianto vs joko widodo no prabowo subianto presiden&jokowi wapres yes.. aminin yaaaaa ALLAH,8/2/2013 11:07,Jokowi,web,,1
1008004696,Prabowo_oke,RT @MaulanaSitorus: prabowo subianto vs joko widodo no prabowo subianto presiden&jokowi wapres yes.. aminin yaaaaa ALLAH,8/2/2013 11:21,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Demak,1
1874794257,despar54,"Lho koq? RT @Sang_Presiden: Jokowi adalah presiden terakhir dari suku jawa. @danieelst @eddies_song @handoko_shd @herilatief @partaisocmed""",8/2/2013 13:51,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,0
1289128093,MarbunMarshall,RT @patih_patria: @FahrelStv Gak setuju Jokowi jadi Cawapres.. CAPRES JOKOWI harga mati...,8/2/2013 15:31,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1
-155510907,chamadhojin,"DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc @nongandah",8/2/2013 16:31,Jokowi,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,1
1255209005,nongandah,"Utk Indonesia yg lbh baik RT @chamadhojin DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc nongandah",8/2/2013 16:41,Jokowi,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","?: -6.306199,106.826988",1
-4420476,hendriycole,"Jabar? RT @chamadhojin: DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc @nongandah",8/2/2013 16:50,Jokowi,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",Cianjur-Stamford Bridge,1
152880825,Handoko_SHD,"Eh..??!! ""@Sang_Presiden: Jokowi presiden terakhir dari suku jawa. @despar54 @danieelst @eddies_song @handoko_shd @herilatief @partaisocmed",8/2/2013 17:02,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Halim Perdanakusuma, Jakarta",0
471158068,NickyYuventius,"Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran.",8/2/2013 17:12,Jokowi,web,Jakarta,1
158698536,cienhua,"RT @NickyYuventius: Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran.",8/2/2013 17:25,Jokowi,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",jakarta indonesia,1
-553452938,che_udin,"ia kritik UU tenaga kerja yg batasi pesangon 9 thn masa kerja. ""UU saat presiden Megawati itu mas, sebelumnya selama masa kerja.""",8/2/2013 17:36,Megawati,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",B - Jogja,0
-1129751017,SydSalesman,"""@NickyYuventius: Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran."" Ini baru Indonesia.Ini Indonesia baru.",8/2/2013 17:54,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mlati Glondong - Sleman,1
1431339596,sujana64,"@kompascom capres Mahfud MD, wapres Pramono EW cocok. Yg lainnya maaf gak cocok.",8/2/2013 20:49,Mahfud,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Serang-Banten-Indonesia.,1
-1275638864,PanjiBuana3,"Jokowi butuh dukungan Rakyat.rakyat butuh Jokowi jadi Presiden,jokowi dan Rakyat Cinta tanah air !",8/2/2013 21:06,Jokowi,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",Majalaya Bandung,1
-175283195,kkamjongrowl,"@pspbeautiful rp presiden,jokowi carsen doang. bsoknya jadi rp kpop juga dianya",8/2/2013 23:28,Jokowi,web,,-1
15660197,fallenokta,"Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;",8/3/2013 2:32,Jokowi,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Middle earth /,1
-776252722,Jokowi_do2014,"RT @partnerincrime3: Biarkan sajanokta: Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;""",8/3/2013 2:53,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Kolong Langit,-1
-1091699282,idoidonajib,"Jelek! ""@fallenokta: Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;""",8/3/2013 2:54,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","otista 2, jakarta",-1
2140842713,Presiden2014com,"RT @idoidonajib: Jelek! ""@fallenokta: Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;""",8/3/2013 3:19,Jokowi,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,1
1878908111,nikenfarrisa,"Didoakan Jadi Presiden, Hatta Rajasa Tersenyum: JAKARTA (Pos Kota) - Ketua Majelis Pertimbangan Partai Amanat Nasional (PAN) Amien Ra...",8/3/2013 3:36,Hatta,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",love planet,1
212557534,JGA_Wibowo,Amin Rais usul pasangan Capres Jokowi - Hatta ditolak sama @jokowi_do2 ya? Ya...emang gak level di mata rakyat.,8/3/2013 3:38,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",In God's hands,-1
2057365148,JGA_Wibowo,"Stkh pas capres Jokowi-Hatta ditolak @jokowi_do2, trus Amin Rais bilang Jokowi hrs setia pd sumpah jabatan gub DKI utk 5 tahun ke depan.",8/3/2013 3:43,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",In God's hands,-1
-156402708,Mila_Mulyani03,@Jayusays mantan wakil presiden? Jusuf kalla? :D,8/3/2013 3:45,JK,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",Hogwarts School | Death Note |,-1
585496427,evandersamuelps,"Prabowo presiden & Jokowi wakilnya, mantep banget.",8/3/2013 3:50,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,1
1191466937,JokowiPres,RT @JGA_Wibowo: Amin Rais usul pasangan Capres Jokowi - Hatta ditolak sama @jokowi_do2 ya? Ya...emang gak level di mata rakyat.,8/3/2013 4:00,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,-1
-1723627625,HartoyoMdn,"Supir taxy blue bird bilang, akn pilih Prabowo klau Jokowi tdk jdi calon Presiden. @jokowi_do2 tetap pilihan rakyat.",8/3/2013 5:22,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","?: -6.2590225,106.8430827",1
-13071843,DonyWenas,"You Are The Next Presiden : Prabowo Subianto, Pemimpin yang Murah senyum, Lemah Lembut, dan Berani Tegas Dalam Aturan Dan Keputusan. Donjon",8/3/2013 5:27,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1
606291014,TheJatnika,Merananya Nasib Korban Lumpur Lapindo saat Berlebaran Nanti. >Tenang tuh di TVOne dan antv byk iklan bapak presiden ARB.,8/3/2013 5:38,Aburizal,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Jakarta, Indonesia",-1
229338573,RezkyYastab,"RT @DonyWenas: You Are The Next Presiden : Prabowo Subianto, Pemimpin yang Murah senyum, Lemah Lembut, dan Berani Tegas Dalam Aturan Dan Ke ",8/3/2013 5:45,Prabowo,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Indonesia,1
1860489893,Politikhangat,"Disanjung jadi presiden, Hatta janji anti korupsi: Ketua umum Partai Amanat Nasional (PAN) Hatta Rajasa mendapat ",8/3/2013 6:18,Hatta,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",Indonesia,1
-407389316,tikasabila,"Kalo presiden jokowi?""@ernestprakasa: Klo Gerindra bisa tembus 20% vote di pileg, pasti mereka majuin Prabowo-Ahok. Gimana hayo? :))""",8/3/2013 6:18,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1
1684236902,Presiden2014com,"RT @tikasabila: Kalo presiden jokowi?""@ernestprakasa: Klo Gerindra bisa tembus 20% vote di pileg, pasti mereka majuin Prabowo-Ahok. Gimana  ",8/3/2013 6:19,Jokowi,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,1
-1504153372,ragiljaya5,"RT @Politikhangat: Disanjung jadi presiden, Hatta janji anti korupsi: Ketua umum Partai Amanat Nasional (PAN) Hatta Rajasa mendapat ",8/3/2013 6:51,Hatta,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Indonesia,1
-753668320,YNGKR,"@ibonkIDHAM @galih_rahadian ai Presiden Megawati, Joseph Stalin, Vladimir Lenin boga gelar sarjana kitu? *ups",8/3/2013 10:43,Megawati,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Bandung - Bukittinggi,0
-1795796480,AkuIndonesiaJB,@farhatabbaslaw kalo jadi presiden jokowi tetep jadi gubernur Jakarta ga?,8/3/2013 11:25,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta Barat,-1
1336629421,nundjannah,"Jangan plh capres arb dh ya. Bangun kampung halaman aja dya ga bsa, ngarep mau bangun Tanah Air",8/3/2013 12:17,Aburizal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bandung,-1
-484614980,Sigitlutvi,@TrioMacan2000 om can bahas tentang om capres wiranto dong._.,8/3/2013 16:25,Wiranto,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,1
6160318,AlfalahDifa,"""@provokatrok: kalo gitu presiden jokowi, wapres jokowi, menteri jokowi, gubernur jokowi, semua aja jokowi. Blm juga beres 1 tugas..indon""",8/3/2013 16:42,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Indonesia - Turin,1
-1207114164,IbalBoncuJr,"Mun presiden megawati pasti tau hak nya awk kan?""@mutiaraihdina: Persenan pjg awk naik kh ""@IbalBoncuJr: Oh hahaha ""@mutiaraihdina:",8/3/2013 22:10,Megawati,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,0
1262889998,mutiaraihdina,"Tahu leh namanya aja sma dgn anu haha ""@IbalBoncuJr: Mun presiden megawati pasti tau hak nya awk kan?""@mutiaraihdina: Persenan pjg awk",8/3/2013 22:12,Megawati,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,0
127424669,IbalBoncuJr,"Hahaha =D ""@mutiaraihdina: Tahu leh namanya aja sma dgn anu haha ""@IbalBoncuJr: Mun presiden megawati pasti tau hak nya awk",8/3/2013 22:15,Megawati,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,0
1578004761,mutiaraihdina,"Busung menanti""@IbalBoncuJr: Hahaha =D ""@mutiaraihdina: Tahu leh namanya aja sma dgn anu haha ""@IbalBoncuJr: Mun presiden megawati pasti tau",8/3/2013 22:18,Megawati,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,0
1417002969,UlanOktavia_,Ketua PAN : Hatta Tetap Capres  DAHLAN TOLOL,8/4/2013 4:40,Dahlan,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,1
-46949434,Eduard_Ong,"Presiden> Jokowi, Kapolri> Ahok - Indonesia Aman dan Tentram",8/4/2013 12:06,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Surga Wanita,1
2100655387,Presiden2014com,"RT @Eduard_Ong: Presiden> Jokowi, Kapolri> Ahok - Indonesia Aman dan Tentram",8/4/2013 12:19,Jokowi,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,1
1141911408,Lhu_Tweet,@Gerindra saya boleh bertnya tidak ??? twitter presiden prabowo subianto apa yah ???,8/4/2013 13:26,Prabowo,web,,0
-955650199,RaziMuhara,"Biar bisa jadi RI-1 ? RT @ulinyusron: Demi mendongkrak elektabiltas jadi presiden, Prabowo bikin survei abal2. Tradisi sejak 2009",8/4/2013 14:10,Prabowo,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Ranah Minang, Kampuang Tacinto",0
440817689,ekokepe,RT @maulfania: Presiden: dahlan iskan. Wakil presiden: ahok. Cocok pol iki lek sampe dadi tenan. Luwih sangar timbang messi neymar,8/4/2013 15:10,Dahlan,web,"Sidoarjo, East Java, ID",1
962712768,despar54,Capres Jokowi gratiskan Berobat DKI RT @andi_hpattera:Hehe dipikir semua spt dia X @Yettidewi @nafis_TL @Malikasyari @gunawanwj @BeautyWinda,8/5/2013 5:30,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,1
-461765225,sandyjavie,Coba menghayal Prabowo (Capres) & Jokowi (Cawapres) 2014 #twitiseng,8/5/2013 8:51,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Pondok Gede,1
-1299762156,JokowiPres,RT @sandyjavie: Coba menghayal Prabowo (Capres) & Jokowi (Cawapres) 2014 #twitiseng,8/5/2013 9:04,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1
-1643312027,yayanferdians,"@andi_chairil @bambangelf kebalik smua, @jokowi_do2 yg hrus jd capres, arb,hr n yg lainnya wapres aja",8/5/2013 9:24,Aburizal,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",purbalingga - Jakarta,1
-1224726920,yunendraanggria,"Klo prabowo jadi presiden,jokowi jadi wakil, ahok jadi gubernur..saya akan dukung sepenuh'y..",8/5/2013 10:32,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",indonesia,1
-396704213,partnerincrime3,"Berdoa saja""@yunendraanggria: Klo prabowo jadi presiden,jokowi jadi wakil, ahok jadi gubernur..saya akan dukung sepenuh'y..""",8/5/2013 10:37,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Lawe-lawe,PPU",1
936405276,rudy_ojoss,"@sugiyono86 @eae18 terserah islam mo ngomong apa, tapi kami suka lihat rakyat terlena tv dan pro capres jokowi, maka gebernur baru DKI=Ahok",8/5/2013 12:00,Jokowi,web,,1
1876493607,dewinuramaliaaa,"#CAPRES #ARB Cepet2 aja pemilu. Biar saya pilih ARB, sekolah 12th geratis dan apa lagi mencairkan dana GKN 2013 buat 39org kelompok saya  :love",8/5/2013 13:33,Aburizal,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","?: -3.30493,114.57058",1
-1516140399,InfoCapres,"RT @dewinuramaliaaa: #CAPRES #ARB Cepet2 aja pemilu. Biar saya pilih ARB, sekolah 12th geratis dan apa lagi mencairkan dana GKN 2013 buat 3",8/5/2013 13:38,Aburizal,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Indonesia,1
857307852,ggtiffsh,"bah--"" presiden megawati paling heboh coy.__. RT @fxsunyounf: @ggtiffsh @Xi13L entar mentrimentri jadi ikut goyang dong unn/?.__.)",8/5/2013 13:51,Megawati,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",4,-1
1385161643,Hendriisetia,"""@kulikopi: Baca newsticker di rcti: ARB siap disandingkan dengan Jokowi -- SETUJU!!! Jokowi presiden, ARB........ajudannya?""",8/5/2013 13:52,Aburizal,"<a href=""http://store.ovi.com/content/256340"" rel=""nofollow"">Twitter for Nokia S40</a>",Jambi,0
-1385570231,IstanaRakyatID,RT @eduard28391086: @IstanaRakyat : beberapa waktu kemudian pd tahun 2002.bapak sy dipanggil kembali oleh ibu presiden megawati.sewaktu men ,8/5/2013 15:29,Megawati,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Indonesia,0
-1735692449,IstanaRakyatID,RT @eduard28391086: @IstanaRakyat : bapak saya maruba pakpahan [Alm] sebagai pelapor dimasa pemerintahan bapak presiden soeharto dan ibu pr ,8/5/2013 15:29,Megawati,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Indonesia,0
-444803703,Jokowi_Presiden,RT @alkhaitami: @Jokowi_Presiden @jokowi07 @jokowi_do2 @galih_wildan dg jadi presiden jokowi lbh mudah ngurusi jkt,8/5/2013 16:29,Jokowi,web,Relawan Lepas Jokowi,1
-810622913,dhriebatoe,"@TheComment_NET Hi #mynameis Bakrie / Capres? ARB? / No,my first name tlong bwain minum pakai BAKRIE @imamdarto @danangpostman #50",8/5/2013 20:06,Aburizal,"<a href=""http://twuffer.com"" rel=""nofollow"">Twuffer</a>","Batu, Malang",-1
1445070385,rafly_000,"Saya rasa peluang anda @harry_tanoe untuk menjadi wapres di 2014 sangat kecil, karena saingan anda adalah Bpk Presiden PRABOWO!! HaHaHa",8/5/2013 22:18,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1
1576795289,Athleta7Satria,"Gimana mau jadi presiden ARB itu, nyebut nama negaranya aja salah.. Indonesia woy bukan Endonesia.. :/",8/5/2013 23:22,Aburizal,web,MANCHESTER UNITED FC,-1
-985587656,Sukopramono,Bapak Presiden Joko Widodo #soon #ComingSoon,8/6/2013 3:16,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Under The Moonshine,1
-1355322376,QueenOfBarca,"Rosell (presiden): Jk ada yg ingin membeli Messi, mrk hrs membayar sktr 580M utk byr 250M klausal pembelian dan 56% pajak pendapatan [sport]",8/6/2013 4:04,JK,web,CAMP NOU,0
-2120008320,Aim_Matul,Bpk capres wiranto ko skrng kurus yaa?,8/6/2013 4:27,Wiranto,"<a href=""http://twittanic.com"" rel=""nofollow"">Twittani</a>","Samarinda, Indonesia",0
-1137554714,apriansyahikbal,"RT @INDOBARCA_JKT: Rosell (presiden): Jk ada yg ingin membeli Messi, mrk hrs membayar sktr 580M utk byr 250M klausal pembelian dan 56% paja ",8/6/2013 4:45,JK,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Soy pueblo indonesio,0
-1748197835,jogjaonlen,"- Presiden Soeharto,- Presiden Megawati,     - Mantan Ketua MPR Amien Rais,- Hidayat N Wahid,- Wapres Boediono,- Anies Baswedan.",8/6/2013 6:05,Megawati,web,"?: 0.0,0.0",0
1724811989,delasanada,"RT @jogjaonlen: - Presiden Soeharto,- Presiden Megawati,     - Mantan Ketua MPR Amien Rais,- Hidayat N Wahid,- Wapres Boediono,- Anies Basw ",8/6/2013 6:36,Megawati,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Ngayogyokarto Hadiningrat,0
1997963046,agungSP_05,"@trieri_triani bkan lgi presiden, jokowi lg kalah lantak ente,, hha  ao cantik men lah tuo kagek,,,",8/6/2013 7:45,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Palembang - Yogyakarta,0
554467367,ambisigue,"6 kali presiden, 11 kali presiden (hatta, hk 8, am, umar w, sudarmono, tri s, habibie, mega, hamzah h, jk, budiono.",8/6/2013 10:50,Hatta,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",,0
442696394,yugopriono,Can mau tanya sebab capres wiranto pasangan ma HT @TrioMacan2000 ??,8/6/2013 11:37,Wiranto,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Semarang,0
